"[40, 46, 12, 13, 0, 17, 26, 19, 45, 20, 8, 7, 0, 50, 30, 32, 28, 1, 2, 0, 24, 14, 34, 38, 6, 31, 0, 9, 47, 23, 39, 44, 3, 0, 49, 43, 0, 4, 10, 25, 41, 48, 0, 33, 42, 27, 0, 36, 16, 21, 18, 0, 15, 35, 0, 5, 22, 11, 29, 0, 37, 0, 0, 0]"
"[1, 10, 24, 38, 15, 0, 26, 2, 42, 12, 23, 5, 0, 7, 37, 30, 11, 9, 0, 35, 48, 36, 6, 49, 0, 8, 45, 28, 16, 39, 0, 27, 3, 43, 4, 17, 19, 0, 32, 47, 25, 14, 0, 22, 34, 41, 0, 29, 20, 33, 18, 0, 40, 21, 0, 31, 13, 0, 44, 0, 50, 0, 46, 0]"
"[7, 37, 34, 27, 26, 0, 3, 18, 1, 12, 20, 43, 8, 10, 0, 19, 33, 50, 6, 47, 0, 45, 35, 4, 49, 0, 40, 21, 29, 44, 15, 0, 39, 36, 41, 0, 32, 16, 11, 46, 0, 9, 13, 48, 38, 17, 0, 30, 2, 25, 24, 31, 5, 0, 28, 22, 23, 0, 42, 14, 0, 0, 0, 0]"
"[19, 1, 15, 40, 28, 20, 0, 34, 17, 45, 9, 7, 41, 0, 5, 2, 48, 13, 0, 42, 4, 8, 6, 16, 0, 38, 36, 27, 35, 0, 14, 23, 44, 22, 33, 24, 0, 50, 18, 31, 0, 37, 30, 12, 32, 26, 0, 21, 43, 0, 46, 3, 47, 39, 29, 0, 49, 10, 25, 11, 0, 0, 0, 0]"
"[30, 7, 11, 35, 19, 0, 25, 46, 20, 23, 26, 47, 18, 0, 8, 5, 14, 33, 40, 49, 0, 4, 10, 32, 29, 27, 0, 39, 13, 1, 21, 48, 0, 42, 34, 12, 45, 31, 0, 6, 38, 9, 15, 0, 16, 3, 43, 0, 17, 37, 36, 0, 50, 22, 44, 0, 28, 41, 2, 24, 0, 0, 0, 0]"
"[26, 2, 22, 49, 13, 0, 19, 7, 32, 12, 21, 0, 15, 50, 48, 16, 0, 47, 37, 17, 27, 18, 9, 45, 25, 0, 11, 20, 35, 41, 0, 28, 34, 24, 33, 30, 5, 0, 4, 29, 46, 0, 3, 42, 0, 43, 38, 8, 14, 10, 1, 0, 6, 44, 39, 36, 40, 31, 0, 23, 0, 0, 0, 0]"
"[19, 46, 41, 27, 18, 44, 10, 5, 0, 24, 34, 38, 49, 0, 50, 39, 40, 30, 17, 0, 3, 26, 13, 28, 32, 7, 47, 21, 0, 31, 45, 8, 37, 12, 35, 0, 16, 14, 33, 43, 42, 0, 1, 20, 36, 0, 4, 11, 6, 23, 2, 0, 48, 22, 0, 25, 15, 0, 9, 29, 0, 0, 0, 0]"
"[20, 1, 25, 11, 16, 29, 0, 27, 23, 12, 47, 17, 6, 0, 36, 2, 32, 14, 41, 13, 0, 19, 42, 46, 24, 0, 37, 28, 8, 39, 15, 49, 0, 4, 7, 48, 30, 21, 34, 0, 26, 10, 44, 33, 0, 18, 5, 50, 43, 0, 45, 40, 0, 38, 0, 9, 3, 0, 31, 22, 0, 35, 0, 0]"
"[45, 10, 22, 15, 26, 0, 37, 29, 16, 48, 0, 40, 34, 30, 18, 32, 9, 0, 6, 25, 28, 2, 0, 7, 44, 42, 23, 0, 11, 8, 27, 17, 0, 24, 49, 39, 4, 46, 3, 35, 36, 0, 5, 38, 21, 41, 0, 33, 47, 12, 14, 0, 50, 31, 19, 0, 43, 1, 0, 20, 0, 13, 0, 0]"
"[21, 7, 40, 23, 34, 45, 0, 8, 15, 16, 48, 29, 19, 0, 38, 24, 43, 26, 17, 0, 22, 2, 13, 27, 11, 35, 18, 0, 33, 25, 14, 39, 30, 28, 0, 36, 49, 47, 0, 12, 42, 46, 50, 0, 20, 31, 37, 0, 10, 1, 4, 6, 0, 5, 44, 41, 3, 0, 32, 9, 0, 0, 0, 0]"
